bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
1380.36,9906.79,273.51,681.13,26.01,431.21,1.27,86.25,0.21839899999999998,170.49,18.58,7.95,32.54,0.24643299999999999,4.86,12.49,5.23
1541.63,10077.4,285.09,626.26,33.98,473.28,1.48,96.01,0.25788,203.91,15.06,9.42,37.99,0.297867,6.5,15.44,5.91
1621.17,9823.43,301.27,632.44,25.74,480.52,1.04,91.72,0.22662,175.35,15.74,9.48,40.13,0.254037,5.36,14.76,5.62
1722.93,9352.72,299.69,621.15,22.16,471.53,0.844828,85.89,0.214011,162.92,15.87,8.52,38.32,0.24830500000000003,4.56,14.69,5.67
1571.39,8789.04,304.6,641.46,21.73,465.97,0.804621,88.94,0.218241,168.57,15.02,8.74,38.04,0.25291399999999997,4.82,14.51,5.36
1634.0,8241.71,296.49,566.96,21.33,475.68,0.78773,77.91,0.209116,160.0,13.22,7.6,34.83,0.244178,4.25,14.37,5.22
1651.86,8074.02,289.12,564.34,18.26,412.5,0.793492,73.14,0.20131300000000002,158.62,12.89,7.7,34.89,0.242851,3.99,13.95,5.19
1302.23,8232.38,299.29,577.25,18.02,381.44,0.897425,71.98,0.20413499999999998,166.11,12.66,7.98,35.83,0.23899099999999998,3.73,14.22,5.29
1175.06,8077.95,294.75,494.76,17.74,360.31,0.8892040000000001,70.18,0.20343699999999998,142.08,11.75,7.68,34.45,0.23264200000000002,3.48,14.05,5.2
1220.78,8205.74,296.57,500.24,18.4,367.44,0.9656100000000001,72.2,0.21254,136.1,11.34,8.08,36.21,0.23797800000000002,3.49,14.8,5.26
1172.43,8039.07,292.5,442.03,17.94,354.09,0.8626719999999999,71.41,0.20181400000000002,129.5,11.69,7.8,39.94,0.231336,3.45,14.0,5.13
1260.95,7766.03,294.46,455.36,17.73,347.4,0.816643,69.51,0.195153,130.72,10.98,7.93,43.01,0.22814,3.5,14.01,5.28
1197.43,7697.21,295.91,424.35,17.21,331.98,0.791203,67.41,0.193471,126.59,10.82,7.69,39.74,0.22654699999999997,3.37,13.52,4.77
909.16,7853.57,302.48,420.59,16.77,330.17,0.8308969999999999,70.45,0.196707,120.02,11.28,7.13,28.71,0.224768,3.3,12.83,4.75
1202.17,7323.24,274.63,424.51,17.5,333.44,0.7926880000000001,63.81,0.194276,121.24,12.2,7.72,29.45,0.212655,3.74,11.68,5.07
