bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
1546.18,10058.8,286.04,626.42,33.98,472.9,1.5,96.03,0.24868200000000001,203.21,15.27,9.39,38.08,0.299152,6.47,15.49,5.93
1622.57,9818.35,300.48,632.3,25.75,480.36,1.04,91.6,0.226282,173.39,15.7,9.49,40.13,0.253927,5.38,14.79,5.65
1735.66,9330.55,299.79,621.62,22.22,471.33,0.841932,85.93,0.21388600000000002,163.37,15.87,8.49,38.44,0.24881799999999998,4.56,14.79,5.68
1571.27,8790.92,304.7,643.57,21.71,466.28,0.806117,88.82,0.218506,168.44,15.03,8.72,38.13,0.252393,4.79,14.49,5.35
1648.51,8253.69,297.26,566.63,21.45,474.91,0.786914,77.97,0.20910900000000002,160.03,13.24,7.61,34.79,0.244642,4.25,14.43,5.23
1683.81,8038.77,289.76,566.68,18.23,410.17,0.7934869999999999,73.22,0.20143699999999998,158.61,12.92,7.72,34.9,0.242402,4.0,13.95,5.19
1303.31,8253.55,299.33,578.85,17.99,380.65,0.8995700000000001,71.89,0.20389100000000002,165.95,12.67,7.94,35.86,0.23885900000000002,3.73,14.2,5.29
1176.97,8071.26,294.1,494.21,17.8,360.4,0.8884989999999999,70.03,0.20271199999999998,141.74,11.73,7.65,34.36,0.233271,3.46,14.15,5.19
1236.01,8200.64,296.51,486.54,18.39,366.73,0.966548,72.25,0.21304099999999998,135.76,11.34,8.03,35.64,0.23875900000000003,3.48,14.77,5.27
1172.05,8036.49,292.65,442.31,17.92,354.39,0.8646379999999999,71.59,0.20194700000000002,129.48,11.69,7.82,39.75,0.231016,3.46,14.03,5.12
1254.53,7790.15,294.92,454.74,17.72,347.61,0.823032,69.64,0.196271,130.8,10.84,7.95,42.74,0.228627,3.5,14.02,5.3
1185.48,7708.99,297.02,424.98,17.24,332.39,0.792462,67.57,0.192635,126.7,10.86,7.58,40.5,0.226581,3.36,13.37,4.78
900.78,7871.69,303.01,418.18,16.88,330.92,0.823941,71.06,0.196787,120.31,11.32,7.16,28.7,0.227107,3.31,12.89,4.76
1212.4,7315.54,273.13,424.41,17.55,333.36,0.7858229999999999,63.82,0.193879,121.37,12.14,7.72,29.35,0.212956,3.73,11.72,5.05
1273.53,6635.75,255.38,427.54,17.87,337.63,0.610332,62.68,0.194469,122.35,11.44,7.84,29.73,0.209825,3.61,11.6,5.03
1353.99,6559.49,251.9,427.37,16.11,316.72,0.591634,61.4,0.192662,123.4,10.96,7.57,28.4,0.203442,3.22,11.42,4.4
