bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
"21,196,200,000","129,595,000,000","629,582,000","3,504,790,000","1,730,450,000","33,284,900,000","2,269,880,000","3,745,710,000","1,756,380,000","2,009,180,000","13,708,600","809,283,000","2,795,440,000","8,811,410,000","344,757,000","1,032,340,000","528,278,000"
"20,125,900,000","128,425,000,000","632,692,000","3,265,280,000","1,679,120,000","31,800,700,000","2,199,170,000","3,631,120,000","1,741,240,000","1,945,200,000","13,516,000","784,918,000","2,583,010,000","8,749,900,000","332,566,000","996,077,000","476,545,000"
"15,279,000,000","131,026,000,000","646,736,000","3,235,510,000","1,635,500,000","31,620,300,000","2,309,500,000","3,794,080,000","1,770,370,000","1,843,600,000","14,090,200","727,192,000","1,866,360,000","8,681,190,000","325,909,000","945,173,000","474,592,000"
"20,202,000,000","122,164,000,000","587,185,000","3,264,810,000","1,706,140,000","31,927,300,000","2,203,300,000","3,435,690,000","1,748,490,000","1,861,940,000","15,226,700","787,988,000","1,913,970,000","8,213,360,000","369,318,000","860,619,000","506,504,000"
"21,335,600,000","110,667,000,000","546,634,000","3,291,450,000","1,738,580,000","32,353,200,000","1,695,970,000","3,379,200,000","1,758,620,000","1,876,740,000","13,947,200","803,044,000","1,936,170,000","8,069,730,000","354,607,000","849,764,000","505,269,000"
"22,626,200,000","109,434,000,000","539,765,000","3,292,370,000","1,566,510,000","30,317,300,000","1,628,970,000","3,317,410,000","1,729,090,000","1,896,990,000","13,705,900","770,372,000","1,845,750,000","7,866,670,000","319,047,000","840,602,000","439,602,000"
"23,214,700,000","99,029,000,000","466,138,000","3,896,620,000","1,490,890,000","29,379,000,000","1,651,070,000","3,183,830,000","1,627,880,000","1,978,840,000","11,602,400","673,886,000","1,762,620,000","7,608,890,000","282,633,000","817,728,000","369,368,000"
"22,614,400,000","104,980,000,000","516,226,000","2,655,840,000","1,894,610,000","30,106,200,000","1,740,210,000","3,351,310,000","1,720,610,000","1,834,630,000","13,783,900","743,945,000","1,848,580,000","8,099,860,000","325,278,000","853,805,000","410,250,000"
"16,807,400,000","110,362,000,000","540,148,000","2,545,670,000","1,423,270,000","28,559,400,000","1,395,280,000","3,191,150,000","1,728,040,000","1,621,800,000","13,155,200","713,386,000","1,829,610,000","7,935,490,000","312,651,000","832,533,000","422,815,000"
"10,933,000,000","119,607,000,000","586,777,000","2,497,710,000","1,380,350,000","30,665,200,000","1,470,620,000","3,463,640,000","1,993,320,000","1,860,390,000","14,967,400","820,786,000","2,078,110,000","8,409,740,000","370,129,000","881,364,000","491,960,000"
