"","Date","Prix","Variation 24h"
"213",2016-07-31,"1 BTC = 588.61000000€","-0.56%"
"214",2016-08-01,"1 BTC = 585.32000000€","-0.56%"
"215",2016-08-02,"1 BTC = 555.89000000€","-5.29%"
"216",2016-08-03,"1 BTC = 535.12000000€","-3.88%"
"217",2016-08-04,"1 BTC = 457.19000000€","-17.05%"
"218",2016-08-05,"1 BTC = 509.90000000€","10.34%"
"219",2016-08-06,"1 BTC = 524.54000000€","2.79%"
"220",2016-08-07,"1 BTC = 522.72000000€","-0.35%"
"221",2016-08-08,"1 BTC = 534.73000000€","2.25%"
"222",2016-08-09,"1 BTC = 539.90000000€","0.96%"
"223",2016-08-10,"1 BTC = 537.13000000€","-0.52%"
"224",2016-08-11,"1 BTC = 531.42000000€","-1.07%"
"225",2016-08-12,"1 BTC = 530.47000000€","-0.18%"
"226",2016-08-13,"1 BTC = 529.85000000€","-0.12%"
"227",2016-08-14,"1 BTC = 527.15000000€","-0.51%"
"228",2016-08-15,"1 BTC = 525.39000000€","-0.33%"
"229",2016-08-16,"1 BTC = 510.88000000€","-2.84%"
"230",2016-08-17,"1 BTC = 509.21000000€","-0.33%"
"231",2016-08-18,"1 BTC = 515.92000000€","1.3%"
"232",2016-08-19,"1 BTC = 508.65000000€","-1.43%"
"233",2016-08-20,"1 BTC = 507.43000000€","-0.24%"
"234",2016-08-21,"1 BTC = 509.32000000€","0.37%"
"235",2016-08-22,"1 BTC = 515.09000000€","1.12%"
"236",2016-08-23,"1 BTC = 513.72000000€","-0.27%"
"237",2016-08-24,"1 BTC = 519.16000000€","1.05%"
"238",2016-08-25,"1 BTC = 516.06000000€","-0.6%"
"239",2016-08-26,"1 BTC = 515.00000000€","-0.21%"
"240",2016-08-27,"1 BTC = 511.39000000€","-0.71%"
"241",2016-08-28,"1 BTC = 516.42000000€","0.97%"
"242",2016-08-29,"1 BTC = 508.91000000€","-1.48%"
"243",2016-08-30,"1 BTC = 511.98000000€","0.6%"
"244",2016-08-31,"1 BTC = 512.32000000€","0.07%"
"245",2016-09-01,"1 BTC = 516.43000000€","0.8%"
"246",2016-09-02,"1 BTC = 513.07000000€","-0.65%"
"247",2016-09-03,"1 BTC = 510.22000000€","-0.56%"
"248",2016-09-04,"1 BTC = 513.85000000€","0.71%"
"249",2016-09-05,"1 BTC = 531.48000000€","3.32%"
"250",2016-09-06,"1 BTC = 542.00000000€","1.94%"
"251",2016-09-07,"1 BTC = 542.18000000€","0.03%"
"252",2016-09-08,"1 BTC = 542.75000000€","0.11%"
"253",2016-09-09,"1 BTC = 547.18000000€","0.81%"
"254",2016-09-10,"1 BTC = 556.03000000€","1.59%"
"255",2016-09-11,"1 BTC = 554.62000000€","-0.25%"
"256",2016-09-12,"1 BTC = 556.53000000€","0.34%"
"257",2016-09-13,"1 BTC = 539.56000000€","-3.15%"
"258",2016-09-14,"1 BTC = 541.30000000€","0.32%"
"259",2016-09-15,"1 BTC = 544.45000000€","0.58%"
"260",2016-09-16,"1 BTC = 544.00000000€","-0.08%"
"261",2016-09-17,"1 BTC = 541.64000000€","-0.44%"
"262",2016-09-18,"1 BTC = 544.21000000€","0.47%"
"263",2016-09-19,"1 BTC = 542.79000000€","-0.26%"
"264",2016-09-20,"1 BTC = 545.16000000€","0.43%"
"265",2016-09-21,"1 BTC = 543.91000000€","-0.23%"
"266",2016-09-22,"1 BTC = 544.62000000€","0.13%"
"267",2016-09-23,"1 BTC = 533.97000000€","-1.99%"
"268",2016-09-24,"1 BTC = 531.30000000€","-0.5%"
"269",2016-09-25,"1 BTC = 537.90000000€","1.23%"
"270",2016-09-26,"1 BTC = 539.34000000€","0.27%"
"271",2016-09-27,"1 BTC = 536.01000000€","-0.62%"
